Landmark,Link,lon,lat,Address,Archichect + Data,Link,Designated,Notes
Peoples Park,https://en.wikipedia.org/wiki/People%27s_Park_(Berkeley),-122.2577085,37.86611636,2526 Haste Street/2448 Bowditch Street/2551 Dwight Way,-1969,,19-Nov-84,CA State Historic Resources Inventory
John Muir Elementary,https://berkeleyheritage.com/berkeley_landmarks/images/John_Muir_School3.jpg,-122.245072,37.85728541,2955 Claremont Avenue,James W. Plachek (1915),,18-Jul-83,CA State Historic Resources Inventory
Berkeley Arts Magnet School,,-122.2703095,37.87687477," 2015 Virginia St, Berkeley, CA 94709",,,,
Berkeley Public Library North Branch,https://berkeleyheritage.com/berkeley_landmarks/images/public_library.jpg,-122.275407,37.8854787,2090 Kittredge Street at Shattuck Avenue,James W. Plachek (1930),,19-Apr-82,"#82002156, National Register of Historic Places (1982)"
Berkeley Shellmound,https://berkeleyheritage.com/berkeley_landmarks/shellmound.html,-122.3005662,37.86814291,"Three blocks bounded by University Avenue, Hearst Avenue, I-880 and Fourth Street",,,7-Feb-00,
Harold E. Jones Child Study Center,https://berkeleyheritage.com/berkeley_landmarks/2013_landmarks.html,-122.2642019,37.86563454,2425 Atherton Street,Joseph Esherick (1958–1960),,6-Jun-13,
Berkeley Day Nursery,https://berkeleyheritage.com/berkeley_landmarks/images/Berkeley_Day-Nursery.jpg,-122.2970383,37.86713583,2031 Sixth Street,"	Walter H. Ratcliff, Jr. (1927)",,22-Feb-77,"#77000281, National Register of Historic Places (1977)"
Garfield Junior Highschool,https://berkeleyheritage.com/berkeley_landmarks/images/garfield_school/Garfield_School_arcade.jpg,-122.2686331,37.8816984,1414 Walnut Street at Rose Street,Ernest Coxhead (1915),,20-May-80,"#82002160, National Register of Historic Places (1982)"
Boon's University School,https://berkeleyheritage.com/berkeley_landmarks/images/Boone's_University_School2.jpg,-122.2688113,37.86686164,2029 Durant Avenue,(c. 1877–1878),,16-Mar-81,"#82000994, National Register of Historic Places (1982)"
Anna Head School,https://berkeleyheritage.com/berkeley_landmarks/images/Anna_Head1.jpg,-122.2572975,37.86663677,2538 Channing Way at Bowditch Street,"Soulï¿½ Edgar Fisher (1892); Walter H. Ratcliff, Jr. (1911–1927)",,16-Nov-81,"#80000795, National Register of Historic Places (1980)"
